Year,Urban_Population_Millions,Geographical_Expansion_sqkm,Infrastructure_Type,Capacity,Projected_Needs,Population_Density,Public_Transport_Share,,,,
1995,18.09,291.54,Utilities,80,135,3812,67.48,,,,
1996,16.8,311.14,Utilities,89,92,1078,33.21,,,,
1997,17.43,294.56,Utilities,73,143,3759,58.26,,,,
1998,18.03,332.64,Utilities,76,131,3796,43.94,,,,
1999,18.08,326.35,Utilities,92,98,1542,51.78,,,,
2000,18.01,326.19,Utilities,88,83,3817,72.63,,,,
2001,19.2,330.71,Utilities,79,147,2192,48.87,,,,
2002,20.25,337.52,Utilities,64,142,1721,39.82,,,,
2003,19.88,355.05,Utilities,72,95,537,23.92,,,,
2004,20.08,371.14,Utilities,86,103,4079,32.07,,,,
2005,20.65,361.06,Utilities,86,147,4248,76.75,,,,
2006,21.25,391.08,Utilities,91,93,4164,38.43,,,,
2007,20.49,377.26,Utilities,83,91,771,60.74,,,,
2008,21.54,375.99,Utilities,96,126,1086,26.09,,,,
2009,22.1,389.2,Utilities,78,94,2572,23.72,,,,
2010,23.29,421.49,Utilities,66,80,745,61.07,,,,
2011,22.7,419.57,Utilities,90,96,661,39.27,,,,
2012,23,440.3,Utilities,88,99,4991,12.81,,,,
2013,23.56,434.81,Utilities,75,100,4110,50.29,,,,
2014,23.43,428.67,Utilities,53,114,4825,77.41,,,,
2015,25.14,463.08,Utilities,67,146,708,64.79,,,,
2016,25.58,458.64,Utilities,82,140,3895,72.09,,,,
2017,25.65,461.42,Utilities,86,88,4678,31.26,,,,
2018,26.41,448.9,Utilities,60,103,4480,67.9,,,,
2019,26.62,461.44,Utilities,81,98,2689,64.57,,,,
2020,26.52,488.22,Utilities,87,148,3815,37.6,,,,
2021,28.01,476.62,Utilities,59,129,2935,35.29,,,,
2022,26.67,481.62,Utilities,72,107,4170,51.17,,,,
2023,28.37,508.56,Utilities,65,93,1446,70.16,,,,
1960,3.05,54.76,Healthcare,72,87,2207,72.49,,,,
1961,3.25,63.67,Healthcare,87,149,4162,37.44,,,,
1962,3.72,68.83,Healthcare,68,92,3139,35.7,,,,
1963,3.75,71.54,Healthcare,65,120,2705,59.9,,,,
1964,3.97,76.08,Healthcare,64,122,3021,31.25,,,,
1965,4.7,97.32,Healthcare,50,125,4901,35.83,,,,
1966,5.45,74.92,Healthcare,54,107,4559,32.84,,,,
1967,5.42,93.92,Healthcare,93,109,944,49.14,,,,
1968,7.18,122.93,Healthcare,55,112,2726,46.81,,,,
1969,7.16,107.77,Healthcare,73,116,3369,67.3,,,,
1970,5.79,110.83,Healthcare,84,85,4465,44,,,,
1971,7.79,119.33,Healthcare,50,126,1433,49.34,,,,
1972,7.57,124.28,Healthcare,60,114,4370,40.75,,,,
1973,7.4,143.7,Healthcare,72,102,4061,31.86,,,,
1974,8.72,150.04,Healthcare,76,94,2602,49.87,,,,
1975,8.15,139.37,Healthcare,92,123,897,36.35,,,,
1976,9.11,159.23,Healthcare,96,101,2794,15.78,,,,
1977,10.81,147.37,Healthcare,98,106,3565,65.77,,,,
1978,9.58,174.98,Healthcare,60,148,3517,79.29,,,,
1979,9.85,163.39,Healthcare,84,138,4234,51.41,,,,
1980,10.77,190.87,Healthcare,94,139,3417,32.25,,,,
1981,11.25,198.63,Healthcare,52,84,4567,66.23,,,,
1982,11.43,202.99,Healthcare,92,102,2150,56.39,,,,
1983,12.68,228.66,Healthcare,60,94,4637,30.14,,,,
1984,12.82,212.71,Healthcare,91,89,3649,70.81,,,,
1985,12.88,221.17,Healthcare,91,137,1118,62.37,,,,
1986,13.17,248.34,Healthcare,74,119,1818,63.52,,,,
1987,14.1,228.47,Healthcare,74,108,4198,30.84,,,,
1988,14.07,246.06,Healthcare,72,145,2653,49.76,,,,
1989,14.43,270.24,Healthcare,64,111,4198,36.24,,,,
1990,14.57,273.32,Healthcare,61,148,3985,50.41,,,,
1991,14.76,263.59,Healthcare,61,109,4447,41.97,,,,
1992,16.21,276.87,Healthcare,77,80,3058,69.26,,,,
1993,16.89,288.31,Healthcare,51,122,2347,18.27,,,,
1994,17.47,303.95,Healthcare,56,147,2180,64,,,,
1995,18.09,291.54,Healthcare,55,130,3124,24.86,,,,
1996,16.8,311.14,Healthcare,72,80,4681,11.66,,,,
1997,17.43,294.56,Healthcare,78,102,2283,39.47,,,,
1998,18.03,332.64,Healthcare,81,99,3504,48.01,,,,
1999,18.08,326.35,Healthcare,90,148,3108,18.06,,,,
2000,18.01,326.19,Healthcare,55,141,3632,59.49,,,,
2001,19.2,330.71,Healthcare,56,97,799,18.35,,,,
2002,20.25,337.52,Healthcare,87,116,2252,47.26,,,,
2003,19.88,355.05,Healthcare,51,130,2864,26.38,,,,
2004,20.08,371.14,Healthcare,94,92,3344,32.25,,,,
2005,20.65,361.06,Healthcare,50,126,3092,18.98,,,,
2006,21.25,391.08,Healthcare,91,98,4671,54.98,,,,
2007,20.49,377.26,Healthcare,87,117,2419,21.01,,,,
2008,21.54,375.99,Healthcare,97,86,3715,62.3,,,,
2009,22.1,389.2,Healthcare,95,101,3556,11.52,,,,
2010,23.29,421.49,Healthcare,58,123,4455,50.52,,,,
2011,22.7,419.57,Healthcare,75,84,4647,39.65,,,,
2012,23,440.3,Healthcare,71,130,4276,34.15,,,,
2013,23.56,434.81,Healthcare,84,93,2339,47.48,,,,
2014,23.43,428.67,Healthcare,74,91,559,70.96,,,,
2015,25.14,463.08,Healthcare,97,86,1236,35.74,,,,
2016,25.58,458.64,Healthcare,96,87,2079,27.16,,,,
2017,25.65,461.42,Healthcare,74,142,4664,25.72,,,,
2018,26.41,448.9,Healthcare,85,108,3488,60.87,,,,
2019,26.62,461.44,Healthcare,60,111,4284,19.54,,,,
2020,26.52,488.22,Healthcare,79,129,2615,19.47,,,,
2021,28.01,476.62,Healthcare,71,92,2199,59.61,,,,
2022,26.67,481.62,Healthcare,76,92,4653,28.61,,,,
2023,28.37,508.56,Healthcare,65,122,3587,49.2,,,,
